iter	Passed	Remaining
0	1	131
1	2	127
2	3	127
3	5	120
4	6	115
5	7	112
6	8	108
7	9	107
8	10	104
9	11	103
10	12	100
11	13	98
12	14	97
13	15	95
14	16	93
15	17	91
16	18	90
17	19	88
18	20	86
19	21	85
20	22	83
21	23	82
22	24	80
23	25	79
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	30	72
30	31	71
31	32	69
32	33	68
33	34	67
34	35	66
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
