iter	Passed	Remaining
0	2	2159
1	3	1967
2	6	2070
3	8	2063
4	10	2010
5	11	1978
6	13	1970
7	15	1962
8	17	1963
9	19	1963
10	21	1952
11	23	1958
12	25	1967
13	27	1967
14	29	1952
15	31	1940
16	33	1926
17	35	1926
18	37	1924
19	38	1910
20	40	1900
21	42	1899
22	44	1897
23	46	1895
24	48	1892
25	50	1891
26	52	1897
27	54	1898
28	56	1898
29	58	1895
30	60	1891
31	62	1890
32	64	1889
33	66	1887
34	68	1882
35	70	1877
36	72	1876
37	74	1876
38	76	1873
39	78	1878
40	80	1874
41	82	1872
42	83	1865
43	85	1862
44	87	1857
45	88	1845
46	90	1840
47	92	1838
48	94	1834
49	96	1832
50	98	1831
51	100	1826
52	102	1822
53	103	1816
54	105	1811
55	107	1814
56	109	1812
57	111	1809
58	113	1810
59	115	1809
60	117	1807
61	119	1803
62	121	1799
63	122	1794
64	124	1790
65	126	1789
66	128	1788
67	130	1782
68	131	1779
69	133	1777
70	135	1773
71	137	1770
72	139	1767
73	141	1765
74	144	1776
75	146	1778
76	148	1774
77	150	1773
78	152	1775
79	154	1777
80	156	1774
81	158	1775
82	160	1773
83	162	1774
84	164	1775
85	166	1771
86	168	1768
87	170	1767
88	172	1765
89	174	1763
90	176	1761
91	178	1757
92	180	1755
93	181	1746
94	183	1744
95	184	1740
96	186	1737
97	188	1736
98	190	1735
99	192	1731
100	194	1727
101	195	1724
102	198	1724
103	200	1723
104	202	1722
105	203	1720
106	205	1717
107	207	1714
108	209	1711
109	211	1709
110	213	1706
111	214	1703
112	216	1702
113	218	1699
114	220	1697
115	222	1694
116	224	1692
117	226	1691
118	228	1688
119	229	1685
120	231	1683
121	233	1680
122	235	1678
123	237	1676
124	239	1673
125	240	1671
126	242	1668
127	244	1666
128	246	1663
129	248	1661
130	250	1659
131	251	1655
132	253	1654
133	255	1650
134	257	1647
135	259	1645
136	260	1642
137	262	1640
138	264	1638
139	266	1636
140	268	1633
141	269	1631
142	272	1630
143	273	1628
144	275	1625
145	277	1621
146	279	1619
147	281	1618
148	283	1616
149	284	1614
150	286	1611
151	288	1609
152	290	1607
153	292	1606
154	294	1604
155	296	1602
156	298	1600
157	299	1598
158	301	1596
159	303	1594
160	305	1591
161	307	1591
162	309	1589
163	311	1587
164	313	1585
165	315	1584
166	317	1582
167	319	1580
168	321	1578
169	322	1576
170	324	1575
171	326	1573
172	328	1572
173	330	1570
174	332	1567
175	334	1565
176	336	1563
177	338	1561
178	340	1559
179	341	1557
180	343	1555
181	345	1554
182	347	1551
183	349	1549
184	351	1547
185	353	1545
186	355	1543
187	356	1541
188	358	1538
189	360	1536
190	362	1535
191	364	1533
192	366	1530
193	367	1528
194	369	1526
195	371	1524
196	373	1523
197	375	1521
198	377	1518
199	379	1517
200	381	1515
201	383	1513
202	385	1511
203	386	1509
204	388	1507
205	390	1506
206	392	1504
207	394	1502
208	396	1500
209	398	1498
210	400	1497
211	402	1495
212	404	1493
213	405	1490
214	407	1489
215	409	1487
216	411	1485
217	413	1483
218	415	1481
219	417	1479
220	419	1477
221	421	1475
222	422	1472
223	424	1470
224	426	1468
225	428	1466
226	430	1464
227	431	1462
228	433	1460
229	436	1459
230	437	1457
231	439	1455
232	441	1453
233	443	1451
234	445	1449
235	447	1447
236	448	1445
237	450	1443
238	452	1441
239	454	1440
240	456	1437
241	458	1436
242	460	1433
243	462	1431
244	463	1429
245	465	1427
246	467	1425
247	469	1422
248	471	1421
249	473	1420
250	475	1418
251	477	1416
252	479	1415
253	481	1413
254	483	1412
255	485	1409
256	487	1408
257	489	1406
258	490	1404
259	493	1404
260	495	1402
261	497	1400
262	499	1398
263	501	1398
264	503	1396
265	505	1394
266	507	1392
267	509	1391
268	511	1389
269	513	1387
270	515	1385
271	516	1383
272	518	1381
273	520	1379
274	522	1378
275	524	1376
276	527	1375
277	528	1373
278	530	1371
279	532	1369
280	534	1367
281	536	1366
282	538	1364
283	540	1362
284	542	1360
285	544	1358
286	546	1356
287	547	1354
288	549	1352
289	551	1350
290	553	1349
291	555	1347
292	557	1345
293	559	1343
294	561	1341
295	563	1339
296	565	1337
297	566	1335
298	568	1333
299	570	1331
300	572	1329
301	574	1328
302	576	1325
303	578	1323
304	579	1321
305	581	1319
306	583	1317
307	585	1315
308	587	1314
309	589	1312
310	591	1310
311	593	1308
312	595	1306
313	597	1304
314	599	1303
315	601	1301
316	603	1299
317	605	1297
318	606	1295
319	608	1293
320	610	1291
321	612	1289
322	614	1287
323	616	1285
324	618	1284
325	620	1282
326	622	1280
327	623	1278
328	625	1275
329	627	1274
330	629	1272
331	631	1270
332	633	1268
333	634	1266
334	637	1264
335	639	1262
336	641	1261
337	643	1260
338	645	1258
339	647	1256
340	649	1254
341	650	1252
342	652	1250
343	654	1248
344	656	1246
345	658	1244
346	660	1242
347	662	1240
348	664	1239
349	666	1237
350	668	1235
351	670	1233
352	672	1231
353	674	1230
354	676	1228
355	678	1226
356	680	1224
357	681	1222
358	683	1221
359	685	1218
360	687	1216
361	689	1214
362	691	1212
363	693	1210
364	694	1208
365	696	1206
366	698	1205
367	700	1203
368	702	1201
369	704	1199
370	706	1197
371	708	1195
372	710	1193
373	711	1191
374	713	1189
375	715	1187
376	717	1185
377	719	1183
378	721	1181
379	722	1179
380	724	1177
381	726	1175
382	728	1173
383	730	1172
384	732	1170
385	734	1168
386	736	1166
387	738	1164
388	740	1162
389	741	1160
390	743	1158
391	745	1156
392	747	1154
393	749	1152
394	751	1151
395	753	1149
396	755	1147
397	757	1145
398	758	1142
399	760	1140
400	762	1138
401	764	1137
402	766	1135
403	768	1133
404	770	1131
405	772	1130
406	774	1128
407	776	1126
408	778	1124
409	780	1123
410	782	1121
411	784	1119
412	786	1118
413	788	1116
414	790	1114
415	792	1112
416	794	1110
417	796	1108
418	798	1106
419	800	1104
420	802	1103
421	804	1101
422	806	1099
423	807	1097
424	809	1095
425	811	1093
426	813	1091
427	815	1089
428	817	1088
429	819	1086
430	821	1084
431	823	1082
432	825	1080
433	827	1078
434	829	1076
435	830	1074
436	832	1073
437	834	1070
438	836	1069
439	838	1067
440	840	1065
441	842	1063
442	844	1062
443	846	1060
444	848	1058
445	850	1056
446	852	1054
447	854	1053
448	856	1051
449	858	1049
450	860	1047
451	862	1045
452	864	1043
453	866	1041
454	868	1039
455	870	1037
456	871	1035
457	873	1033
458	875	1031
459	877	1029
460	878	1027
461	880	1025
462	882	1023
463	884	1021
464	886	1020
465	888	1018
466	890	1016
467	892	1014
